Report generated on: 04-07-2022 12:36:39,,
INTL.2-12-CMR-BKWH.A,    Generation (billion kWh),8.39484
INTL.29-12-CMR-BKWH.A,        Renewables (billion kWh),5.4
,Canada,
INTL.2-12-CAN-BKWH.A,    Generation (billion kWh),633.60403
INTL.29-12-CAN-BKWH.A,        Renewables (billion kWh),425.95003
,Cayman Islands,
INTL.2-12-CYM-BKWH.A,    Generation (billion kWh),0.695165
INTL.29-12-CYM-BKWH.A,        Renewables (billion kWh),0.016165
,Central African Republic,
INTL.2-12-CAF-BKWH.A,    Generation (billion kWh),0.15094
INTL.29-12-CAF-BKWH.A,        Renewables (billion kWh),0.15
,Chad,
INTL.2-12-TCD-BKWH.A,    Generation (billion kWh),0.29946
INTL.29-12-TCD-BKWH.A,        Renewables (billion kWh),0.009
,Chile,
INTL.2-12-CHL-BKWH.A,    Generation (billion kWh),80.15826
INTL.29-12-CHL-BKWH.A,        Renewables (billion kWh),37.29426
,China,
INTL.2-12-CHN-BKWH.A,    Generation (billion kWh),7224.89564
INTL.29-12-CHN-BKWH.A,        Renewables (billion kWh),2005.87664
,Colombia,
INTL.2-12-COL-BKWH.A,    Generation (billion kWh),75.26868
INTL.29-12-COL-BKWH.A,        Renewables (billion kWh),55.75668
,Comoros,
INTL.2-12-COM-BKWH.A,    Generation (billion kWh),0.102296
INTL.29-12-COM-BKWH.A,        Renewables (billion kWh),0.0004
,Congo-Brazzaville,
INTL.2-12-COG-BKWH.A,    Generation (billion kWh),3.70958
INTL.29-12-COG-BKWH.A,        Renewables (billion kWh),1.071
,Congo-Kinshasa,
INTL.2-12-COD-BKWH.A,    Generation (billion kWh),9.2107
INTL.29-12-COD-BKWH.A,        Renewables (billion kWh),9.206
,Cook Islands,
INTL.2-12-COK-BKWH.A,    Generation (billion kWh),0.041729
INTL.29-12-COK-BKWH.A,        Renewables (billion kWh),0.010729
,Costa Rica,
INTL.2-12-CRI-BKWH.A,    Generation (billion kWh),11.37297
INTL.29-12-CRI-BKWH.A,        Renewables (billion kWh),11.28273
,Croatia,
INTL.2-12-HRV-BKWH.A,    Generation (billion kWh),12.31668
INTL.29-12-HRV-BKWH.A,        Renewables (billion kWh),8.39268
,Cuba,
INTL.2-12-CUB-BKWH.A,    Generation (billion kWh),19.52646
INTL.29-12-CUB-BKWH.A,        Renewables (billion kWh),0.906
,Cyprus,
INTL.2-12-CYP-BKWH.A,    Generation (billion kWh),4.917
INTL.29-12-CYP-BKWH.A,        Renewables (billion kWh),0.515
,Czech Republic,
INTL.2-12-CZE-BKWH.A,    Generation (billion kWh),79.10092
INTL.29-12-CZE-BKWH.A,        Renewables (billion kWh),10.15192
,Côte d’Ivoire,
INTL.2-12-CIV-BKWH.A,    Generation (billion kWh),8.95232
INTL.29-12-CIV-BKWH.A,        Renewables (billion kWh),2.393
,Denmark,
INTL.2-12-DNK-BKWH.A,    Generation (billion kWh),29.14484
INTL.29-12-DNK-BKWH.A,        Renewables (billion kWh),23.87084
