Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ethiopia,ETH,799.7951343
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Faroe Islands,FRO,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Fiji,FJI,5869.021144
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Finland,FIN,46116.52771
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,France,FRA,38896.68543
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,French Polynesia,PYF,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Gabon,GAB,7116.081268
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Gambia, The",GMB,714.0818299
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Georgia,GEO,4773.423309
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Germany,DEU,43311.62898
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ghana,GHA,2053.586731
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Gibraltar,GIB,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Greece,GRC,18996.188
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Greenland,GRL,48209.34916
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Grenada,GRD,10133.1322
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guam,GUM,35666.31615
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guatemala,GTM,4254.035159
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guinea,GIN,945.7693487
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guinea-Bissau,GNB,650.0693824
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guyana,GUY,6478.287688
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Haiti,HTI,1373.883104
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Honduras,HND,2482.120205
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Hong Kong SAR, China",HKG,44189.69253
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Hungary,HUN,15041.09858
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Iceland,ISL,57818.85946
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,India,IND,1972.757821
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Indonesia,IDN,3877.382977
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Iraq,IRQ,5154.276848
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ireland,IRL,75112.80503
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Isle of Man,IMN,96105.30317
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Israel,ISR,38995.23045
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Italy,ITA,32078.09159
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Jamaica,JAM,5065.374889
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Japan,JPN,36362.35732
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Jordan,JOR,4133.549805
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kazakhstan,KAZ,11402.76011
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kenya,KEN,1600.128419
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kiribati,KIR,1664.511519
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Korea, Dem. People's Rep.",PRK,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Korea, Rep.",KOR,31674.31152
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kosovo,XKX,4219.080692
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kuwait,KWT,27156.47535
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kyrgyz Republic,KGZ,1226.824464
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Lao PDR,LAO,2579.253661
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Latvia,LVA,16049.57936
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Lebanon,LBN,6823.104085
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Lesotho,LSO,1096.216969
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Liberia,LBR,650.4133691
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Libya,LBY,5971.849646
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Liechtenstein,LIE,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Lithuania,LTU,17234.323
