INTL.117-12-ATA-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-ATA-BKWH.A,                    Solar (billion kWh),0
INTL.37-12-ATA-BKWH.A,                Wind (billion kWh),0
INTL.38-12-ATA-BKWH.A,                Biomass and waste (billion kWh),0
INTL.82-12-ATA-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Antigua and Barbuda,
INTL.2-12-ATG-BKWH.A,    Generation (billion kWh),0.343
INTL.29-12-ATG-BKWH.A,        Renewables (billion kWh),0.015
INTL.33-12-ATG-BKWH.A,            Hydroelectricity (billion kWh),0
INTL.34-12-ATG-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.015
INTL.35-12-ATG-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-ATG-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.015
INTL.117-12-ATG-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-ATG-BKWH.A,                    Solar (billion kWh),0.015
INTL.37-12-ATG-BKWH.A,                Wind (billion kWh),0
INTL.38-12-ATG-BKWH.A,                Biomass and waste (billion kWh),0
INTL.82-12-ATG-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Argentina,
INTL.2-12-ARG-BKWH.A,    Generation (billion kWh),132.26389
INTL.29-12-ARG-BKWH.A,        Renewables (billion kWh),34.78189
INTL.33-12-ARG-BKWH.A,            Hydroelectricity (billion kWh),27.33489
INTL.34-12-ARG-BKWH.A,            Non-hydroelectric renewables (billion kWh),7.447
INTL.35-12-ARG-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-ARG-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.8
INTL.117-12-ARG-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-ARG-BKWH.A,                    Solar (billion kWh),0.8
INTL.37-12-ARG-BKWH.A,                Wind (billion kWh),4.997
INTL.38-12-ARG-BKWH.A,                Biomass and waste (billion kWh),1.65
INTL.82-12-ARG-BKWH.A,        Hydroelectric pumped storage (billion kWh),-0.196
,Armenia,
INTL.2-12-ARM-BKWH.A,    Generation (billion kWh),7.26447
INTL.29-12-ARM-BKWH.A,        Renewables (billion kWh),2.37129
INTL.33-12-ARM-BKWH.A,            Hydroelectricity (billion kWh),2.34729
INTL.34-12-ARM-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.024
INTL.35-12-ARM-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-ARM-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.021
INTL.117-12-ARM-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-ARM-BKWH.A,                    Solar (billion kWh),0.021
INTL.37-12-ARM-BKWH.A,                Wind (billion kWh),0.003
INTL.38-12-ARM-BKWH.A,                Biomass and waste (billion kWh),0
INTL.82-12-ARM-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Aruba,
INTL.2-12-ABW-BKWH.A,    Generation (billion kWh),0.919712
INTL.29-12-ABW-BKWH.A,        Renewables (billion kWh),0.146712
INTL.33-12-ABW-BKWH.A,            Hydroelectricity (billion kWh),0
INTL.34-12-ABW-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.146712
INTL.35-12-ABW-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-ABW-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.010712
INTL.117-12-ABW-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-ABW-BKWH.A,                    Solar (billion kWh),0.010712
INTL.37-12-ABW-BKWH.A,                Wind (billion kWh),0.136
INTL.38-12-ABW-BKWH.A,                Biomass and waste (billion kWh),0
INTL.82-12-ABW-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Australia,
INTL.2-12-AUS-BKWH.A,    Generation (billion kWh),249.99605
INTL.29-12-AUS-BKWH.A,        Renewables (billion kWh),51.59105
INTL.33-12-AUS-BKWH.A,            Hydroelectricity (billion kWh),15.53805
INTL.34-12-AUS-BKWH.A,            Non-hydroelectric renewables (billion kWh),36.053
INTL.35-12-AUS-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-AUS-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",14.845
INTL.117-12-AUS-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-AUS-BKWH.A,                    Solar (billion kWh),14.845
