Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brazil,BRA,6500.38780554116,6079.24403845641,5987.82054505781,5679.89740440112,5853.89725888604,6178.52391509739,6504.975723405,6601.58908030838,6471.95272649278,6553.23804876825,6155.64537307478,6110.71907521168,5974.59006469738,6165.31686502015,6420.40739190523,6584.73922064371,6624.10037220125,6742.71174107548,6662.85343857573,6595.61609911524,6787.66899225011,6788.57656201416,6904.6253073595,6896.13719435172,7206.26179832942,7352.28258589388,7560.70204026723,7936.82442801739,8258.61588399477,8169.26241967776,8702.25533075519,8965.62055746199,9056.58043788945,9247.5733810643,9214.97724357405,8813.98980647828,8455.31234246959,8498.29390646058,8582.33863665038,8638.28290678523,8228.78051042072
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Iran, Islamic Rep.",IRN,3868.48830623532,3527.1525412423,4300.13352500908,4480.61788357324,3924.812813718,3850.0111961613,3322.28765996977,3216.21639918916,2932.90180638936,3010.7125609661,3333.44439263976,3661.40978787253,3695.64688927536,3674.6748770514,3568.71181250915,3599.60481123739,3734.8748014401,3703.46555972539,3734.56430721545,3721.23925314539,3888.05097676569,3872.51681629176,4103.11068115518,4405.69245793639,4543.58838665839,4634.01061841235,4811.0542398252,5146.41262315521,5103.22795071122,5097.7910860143,5332.10805650613,5409.20224277165,4946.53612777298,4876.12450619163,5035.81602207171,4904.32731485169,5486.40796400736,5614.11787565485,5203.16947029808,4785.0278763552,4883.60086458142
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Norway,NOR,40059.9802136376,40560.4479827609,40506.8623660947,41976.9233495566,44392.0834091662,46717.2206938984,48432.5867721219,49051.6798378169,48663.9479306137,48966.6649429335,49741.425757739,51032.0602863941,52551.951441768,53726.4755306975,56122.114300243,58151.5991798536,60766.6339730874,63631.9410885765,64914.2553096158,65768.9857253314,67437.743355228,68489.4679076266,69106.3089683386,69327.4265414388,71654.636532036,73036.740359019,74189.5667781725,75624.4412047731,75043.5294578274,72823.3024397882,72426.5652172527,72194.7810014983,73178.784945419,73046.9050292415,73650.3135435049,74355.5158575643,74493.1179371245,75610.6494832583,75953.5819514803,76005.224786526,75017.1567472977
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United States,USA,31142.1936846738,31620.6375192839,30755.9491375441,31872.9988451273,33884.8759715891,34986.3568660581,35864.8243931488,36775.2972648366,37965.1311539107,38989.4936735017,39278.5953497875,38715.2616876366,39526.9708047124,40082.6048153463,41189.2383572889,41794.19221265,42869.2471695732,44212.1670413743,45658.1365976205,47282.2846760321,48689.0312898553,48690.8079408159,49081.3587876497,50053.624104102,51476.4887860738,52796.089816261,53782.2972881633,54272.7195525927,53688.3651351372,51869.7063083713,52759.9980807375,53190.2311213989,53989.2483396923,54604.1300544798,55574.3568248497,56863.3714957652,57418.9338464454,58387.7758083572,59821.5922735518,60836.7714535018,58559.6745127534
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
